 IPER  ISTEP           TLEN           ILYR    IROW   ICOL            XCORD               YCORD                HEAD
 1          1          1.00000000       1          1          1          50.00000000      -50.00000000     -9999.00000000      
 1          1          1.00000000       1          1          2          150.00000000     -50.00000000     -9999.00000000      
 1          1          1.00000000       1          1          3          250.00000000     -50.00000000     -9999.00000000      
 1          1          1.00000000       1          1          4          350.00000000     -50.00000000     -9999.00000000      
 1          1          1.00000000       1          1          5          450.00000000     -50.00000000     -9999.00000000      
 1          1          1.00000000       1          1          6          550.00000000     -50.00000000     -9999.00000000      
 1          1          1.00000000       1          1          7          650.00000000     -50.00000000     -9999.00000000      
 1          1          1.00000000       1          1          8          750.00000000     -50.00000000     -9999.00000000      
 1          1          1.00000000       1          1          9          850.00000000     -50.00000000     -9999.00000000      
 1          1          1.00000000       1          1          10         950.00000000     -50.00000000     -9999.00000000      
 1          1          1.00000000       1          1          11         1050.00000000    -50.00000000     -9999.00000000      
 1          1          1.00000000       1          1          12         1150.00000000    -50.00000000     -9999.00000000      
 1          1          1.00000000       1          1          13         1250.00000000    -50.00000000     -9999.00000000      
 1          1          1.00000000       1          1          14         1350.00000000    -50.00000000     -9999.00000000      
 1          1          1.00000000       1          1          15         1450.00000000    -50.00000000     -9999.00000000      
 1          1          1.00000000       1          1          16         1550.00000000    -50.00000000     -9999.00000000      
 1          1          1.00000000       1          1          17         1650.00000000    -50.00000000     -9999.00000000      
 1          1          1.00000000       1          1          18         1750.00000000    -50.00000000     -9999.00000000      
 1          1          1.00000000       1          1          19         1850.00000000    -50.00000000     -9999.00000000      
 1          1          1.00000000       1          1          20         1950.00000000    -50.00000000     -9999.00000000      
 1          1          1.00000000       1          1          21         2050.00000000    -50.00000000     -9999.00000000      
 1          1          1.00000000       1          1          22         2150.00000000    -50.00000000     -9999.00000000      
 1          1          1.00000000       1          1          23         2250.00000000    -50.00000000     -9999.00000000      
 1          1          1.00000000       1          1          24         2350.00000000    -50.00000000     -9999.00000000      
 1          1          1.00000000       1          1          25         2450.00000000    -50.00000000     -9999.00000000      
 1          1          1.00000000       1          1          26         2550.00000000    -50.00000000     -9999.00000000      
 1          1          1.00000000       1          1          27         2650.00000000    -50.00000000     -9999.00000000      
 1          1          1.00000000       1          1          28         2750.00000000    -50.00000000     -9999.00000000      
 1          1          1.00000000       1          1          29         2850.00000000    -50.00000000     -9999.00000000      
 1          1          1.00000000       1          1          30         2950.00000000    -50.00000000     -9999.00000000      
 1          1          1.00000000       1          1          31         3050.00000000    -50.00000000     -9999.00000000      
 1          1          1.00000000       1          1          32         3150.00000000    -50.00000000     -9999.00000000      
 1          1          1.00000000       1          1          33         3250.00000000    -50.00000000     -9999.00000000      
 1          1          1.00000000       1          1          34         3350.00000000    -50.00000000     -9999.00000000      
 1          1          1.00000000       1          1          35         3450.00000000    -50.00000000     -9999.00000000      
 1          1          1.00000000       1          1          36         3550.00000000    -50.00000000     -9999.00000000      
 1          1          1.00000000       1          1          37         3650.00000000    -50.00000000     -9999.00000000      
 1          1          1.00000000       1          1          38         3750.00000000    -50.00000000     -9999.00000000      
 1          1          1.00000000       1          1          39         3850.00000000    -50.00000000     -9999.00000000      
 1          1          1.00000000       1          1          40         3950.00000000    -50.00000000     -9999.00000000      
 1          1          1.00000000       1          1          41         4050.00000000    -50.00000000     -9999.00000000      
 1          1          1.00000000       1          1          42         4150.00000000    -50.00000000     -9999.00000000      
 1          1          1.00000000       1          1          43         4250.00000000    -50.00000000     -9999.00000000      
 1          1          1.00000000       1          1          44         4350.00000000    -50.00000000     -9999.00000000      
 1          1          1.00000000       1          1          45         4450.00000000    -50.00000000     -9999.00000000      
 1          1          1.00000000       1          1          46         4550.00000000    -50.00000000     -9999.00000000      
 1          1          1.00000000       1          1          47         4650.00000000    -50.00000000     -9999.00000000      
 1          1          1.00000000       1          1          48         4750.00000000    -50.00000000     -9999.00000000      
 1          1          1.00000000       1          1          49         4850.00000000    -50.00000000     -9999.00000000      
 1          1          1.00000000       1          1          50         4950.00000000    -50.00000000     -9999.00000000      
 1          1          1.00000000       1          1          51         5050.00000000    -50.00000000     -9999.00000000      
 1          1          1.00000000       1          1          52         5150.00000000    -50.00000000     -9999.00000000      
 1          1          1.00000000       1          1          53         5250.00000000    -50.00000000     -9999.00000000      
 1          1          1.00000000       1          1          54         5350.00000000    -50.00000000     -9999.00000000      
 1          1          1.00000000       1          1          55         5450.00000000    -50.00000000     -9999.00000000      
 1          1          1.00000000       1          1          56         5550.00000000    -50.00000000     -9999.00000000      
 1          1          1.00000000       1          1          57         5650.00000000    -50.00000000     -9999.00000000      
 1          1          1.00000000       1          1          58         5750.00000000    -50.00000000     -9999.00000000      
 1          1          1.00000000       1          1          59         5850.00000000    -50.00000000     -9999.00000000      
 1          1          1.00000000       1          1          60         5950.00000000    -50.00000000     -9999.00000000      
 1          1          1.00000000       1          1          61         6050.00000000    -50.00000000     -9999.00000000      
 1          1          1.00000000       1          1          62         6150.00000000    -50.00000000     -9999.00000000      
 1          1          1.00000000       1          1          63         6250.00000000    -50.00000000     -9999.00000000      
 1          1          1.00000000       1          1          64         6350.00000000    -50.00000000     -9999.00000000      
